出表日期,公司代號,公司名稱,大股東名稱
1130525,3313,斐成,永捷創新科技股份有限公司
1130525,3313,斐成,張祐銘
1130525,3324,雙鴻,林育申
1130525,3332,幸康,呂惠清
1130525,3332,幸康,鄭水竹
1130525,3332,幸康,鄭震三
1130525,3354,律勝,同盈投資有限公司
1130525,3354,律勝,勇盈投資股份有限公司
1130525,3354,律勝,奕盈投資股份有限公司
1130525,3357,臺慶科,第一商業銀行受託保管西普爾控股（新）私營有限公司投資專戶
1130525,3360,尚立,簡剛民
1130525,3362,先進光,大立光電股份有限公司
1130525,3372,典範,創見資訊股份有限公司
1130525,3373,熱映,遠見科技股份有限公司
1130525,3374,精材,台灣積體電路製造股份有限公司
1130525,3379,彬台,擎邦國際科技工程股份有限公司
1130525,3388,崇越電,崇越開發股份有限公司
1130525,3390,旭軟,鉅祥企業股份有限公司
1130525,3402,漢科,漢唐集成股份有限公司
1130525,3426,台興,台灣晶技股份有限公司
1130525,3430,奇鈦科,龍筱芬
1130525,3434,哲固,王永順
1130525,3438,類比科,致新科技股份有限公司
1130525,3465,進泰電子,泰弘資產管理股份有限公司
1130525,3465,進泰電子,進泰資產管理股份有限公司
1130525,3466,德晉,恆盈泰資本投資有限公司
1130525,3479,安勤,仁寶電腦工業股份有限公司
1130525,3489,森寶,正義投資有限公司
1130525,3489,森寶,民瑋投資股份有限公司
1130525,3489,森寶,禾潤投資股份有限公司
1130525,3489,森寶,春宇投資有限公司
1130525,3489,森寶,達容發投資有限公司
1130525,3492,長盛,東盛投資有限公司
1130525,3499,環天科,陳賢哲
1130525,3499,環天科,鄭賢隆
1130525,3511,矽瑪,佳世達科技股份有限公司
1130525,3512,皇龍,陳文成
1130525,3512,皇龍,陳文宏
1130525,3512,皇龍,陳江山
1130525,3516,亞帝歐,帝祥投資股份有限公司
1130525,3516,亞帝歐,帝興投資股份有限公司
1130525,3520,華盈,永鼎投資有限公司
1130525,3520,華盈,樺泰管理顧問有限公司
1130525,3521,鴻翊,恆家事業股份有限公司
1130525,3523,迎輝,郭文進
1130525,3523,迎輝,鹿林開發股份有限公司
1130525,3526,凡甲,強茂股份有限公司
1130525,3537,堡達,陳朝陽
1130525,3540,曜越,林培熙
1130525,3551,世禾,冠麟投資股份有限公司
1130525,3555,博士旺,兆隆投資股份有限公司
1130525,3555,博士旺,威剛科技股份有限公司
1130525,3556,禾瑞亞,友禾投資股份有限公司
1130525,3558,神準,神腦國際企業股份有限公司
1130525,3564,其陽,友通資訊股份有限公司
1130525,3564,其陽,其鑫股份有限公司
1130525,3570,大塚,日商株式會社大塚商會
1130525,3577,泓格,天行投資股份有限公司
1130525,3577,泓格,陳瑞煜
1130525,3581,博磊,李篤誠
1130525,3594,磐儀,樺成國際投資股份有限公司
1130525,3597,映興,林宜嫻
1130525,3597,映興,進鎰投資股份有限公司
1130525,3597,映興,賴柄源
1130525,3611,鼎翰,台灣半導體股份有限公司
1130525,3615,安可,錸德科技股份有限公司
1130525,3623,富晶通,中環股份有限公司
1130525,3624,光頡,大陸商廣東風華高新科技股份有限公司
1130525,3625,西勝,黃宗偉
1130525,3628,盈正,許文
1130525,3628,盈正,漢唐集成股份有限公司
1130525,3629,地心引力,東南亞投資顧問股份有限公司
1130525,3629,地心引力,劍遊科技股份有限公司
1130525,3630,新鉅科,有康電子股份有限公司
1130525,3630,新鉅科,英屬開曼群島商丘鈦科技(集團）有限公司
1130525,3631,晟楠,林朝榮
1130525,3631,晟楠,榮志投資有限公司
1130525,3663,鑫科,中盈投資開發股份有限公司
1130525,3664,安瑞-KY,Array Holdings for APGFIII Fund LPs
1130525,3664,安瑞-KY,超恩股份有限公司
1130525,3666,光耀,元德投資股份有限公司
1130525,3666,光耀,佳峻投資股份有限公司
1130525,3672,康聯訊,環隆科技股份有限公司
1130525,3675,德微,達爾科技Ｈｏｌｄｉｎｇｓ  ＵＫ公司
1130525,3684,榮昌,陳家榮
1130525,3684,榮昌,詮欣股份有限公司
1130525,3685,元創精密,艾伯科技股份有限公司
1130525,3685,元創精密,富亞興業股份有限公司
1130525,3687,歐買尬,林一泓
1130525,3687,歐買尬,睿智恩股份有限公司
1130525,3691,碩禾,國碩科技工業股份有限公司
1130525,3691,碩禾,鴻揚創業投資股份有限公司
1130525,3693,營邦,梁順營
1130525,3693,營邦,陳皇仁
1130525,3709,鑫聯大投控,大聯大投資控股股份有限公司
1130525,3713,新晶投控,鼎元光電科技股份有限公司
1130525,4102,永日,永信國際投資控股股份有限公司
1130525,4109,加捷生醫,百佳圓投資股份有限公司
1130525,4113,聯上,聯上投資股份有限公司
1130525,4113,聯上,聯景投資股份有限公司
1130525,4116,明基醫,明基電通股份有限公司
1130525,4120,友華,和杏實業股份有限公司
1130525,4120,友華,愛斯佳投資股份有限公司
1130525,4120,友華,誼澤股份有限公司
1130525,4121,優盛,劉志平
1130525,4123,晟德,歐室食品股份有限公司
1130525,4123,晟德,儷榮科技股份有限公司
1130525,4127,天良,臺北作想股份有限公司
1130525,4130,健亞,行政院國家發展基金管理會
1130525,4131,浩泰,廣泰金屬工業股份有限公司
1130525,4138,曜亞,佳醫健康事業股份有限公司
1130525,4139,馬光-KY,黃傳勝
1130525,4147,中裕,行政院國家發展基金管理會
1130525,4153,鈺緯,眾福科技股份有限公司
1130525,4154,樂威科-KY,元大商業銀行受託保管瑞合有限公司投資專戶
1130525,4154,樂威科-KY,元大商業銀行受託保管瑞發一號資本有限公司投資專戶
1130525,4157,太景*-KY,永豐餘投資控股股份有限公司
1130525,4157,太景*-KY,行政院國家發展基金管理會
1130525,4160,訊聯基因,訊聯生物科技股份有限公司
1130525,4162,智擎,台灣東洋藥品工業股份有限公司
1130525,4162,智擎,行政院國家發展基金管理會
1130525,4173,久裕,佳醫健康事業股份有限公司
1130525,4174,浩鼎,宜泰投資股份有限公司
1130525,4183,福永生技,郭鳳琳
1130525,4183,福永生技,証吉投資有限公司
1130525,4188,安克,懷特生技新藥股份有限公司
1130525,4192,杏國,杏輝藥品工業股份有限公司
1130525,4198,欣大健康,李沛霖
1130525,4198,欣大健康,李典穎
1130525,4207,環泰,六順實業股份有限公司
1130525,4207,環泰,康李佐慧
1130525,4303,信立,永捷創新科技股份有限公司
1130525,4304,勝昱,徐瑞駿
1130525,4305,世坤,林璋賦
1130525,4402,福大,兆天國際投資股份有限公司
1130525,4402,福大,匯天下投資股份有限公司
1130525,4406,新昕纖,莊王垂貞
1130525,4413,飛寶企業,林資明
1130525,4413,飛寶企業,深達投資股份有限公司
1130525,4419,皇家美食,易昇鋼鐵股份有限公司
1130525,4420,光明,宜進實業（股）公司
1130525,4430,耀億,金璽投資股份有限公司
1130525,4432,銘旺實,源國投資股份有限公司
1130525,4433,興采,陳國欽
1130525,4433,興采,賴美惠
1130525,4442,竣邦-KY,"Kao's Holding C0.,Ltd."
1130525,4442,竣邦-KY,Ｒｉｃｈ  Ｃｌｉｍｅｓ  Ｌｔｄ．
1130525,4502,健信,丘世健
1130525,4502,健信,華豐橡膠工業股份有限公司
1130525,4502,健信,嶸毅投資股份有限公司
1130525,4503,金雨,興亞營造工程股份有限公司
1130525,4506,崇友,長江物產股份有限公司
1130525,4510,高鋒,和鑽投資股份有限公司
1130525,4523,永彰,友縳投資股份有限公司
1130525,4523,永彰,佳峻投資股份有限公司
1130525,4527,方方土霖,東元電機股份有限公司
1130525,4528,江興鍛,江木山
1130525,4528,江興鍛,廖素鑾
1130525,4529,淳紳,台新託管金名投資有限公司投資專
1130525,4529,淳紳,沈瑋
1130525,4530,宏易,宏帛投資股份有限公司
1130525,4534,慶騰,慶璉投資股份有限公司
1130525,4535,至興,全泰投資股份有限公司
1130525,4535,至興,全興投資開發股份有限公司
1130525,4538,大詠城,天雁投資股份有限公司
1130525,4538,大詠城,楊麗雲
1130525,4538,大詠城,謝依樺
1130525,4538,大詠城,謝宜軒
1130525,4538,大詠城,謝順民
1130525,4543,萬在,同濟國際投資股份有限公司
1130525,4549,桓達,吳定國
1130525,4550,長佳,王才翔
1130525,4550,長佳,東寶投資股份有限公司
1130525,4554,橙的,先達汽車產品（香港）有限公司
1130525,4556,旭然,兆美投資股份有限公司
1130525,4556,旭然,何兆全
1130525,4561,健椿,葉蔡秀華
1130525,4561,健椿,葉橫燦
1130525,4563,百德,業強科技股份有限公司
1130525,4568,科際精密,科際器材工業股份有限公司
1130525,4568,科際精密,薩摩亞商ＷＩＮＦＯＲＥＶＥＲＧＲＯＵＰＩ
1130525,4577,達航科技,黃立達
1130525,4577,達航科技,鴻圻國際股份有限公司
1130525,4577,達航科技,鴻洋投資股份有限公司
1130525,4584,君帆,胡進財
1130525,4584,君帆,湧柏投資股份有限公司
